File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests19_900.point,900,5865,0.0431,9.671,0,170,160,0
tests4_690.point,690,3416,0.03,5.4819,0,178,164,0
tests5_940.point,940,6373,0.0604,15.7964,0,173,159,0
tests14_610.point,610,2657,0.0453,3.3709,0,184,155,0
tests18_890.point,890,5556,0.0717,10.2909,0,173,164,0
tests5_620.point,620,2890,0.0235,3.4975,0,170,153,0
tests5_680.point,680,3191,0.0267,3.8968,0,170,156,0
tests2_890.point,890,5798,0.0518,10.8819,0,176,154,0
tests1_800.point,800,4603,0.0655,7.8554,0,175,163,0
tests0_510.point,510,1800,0.017,2.6087,0,173,155,0
tests16_1000.point,1000,7150,0.0708,15.2401,0,182,168,0
tests6_800.point,800,4533,0.0694,10.5655,0,168,163,0
tests11_730.point,730,3758,0.0693,9.4614,0,178,165,0
tests12_860.point,860,5234,0.0426,16.7851,0,182,171,0
tests5_970.point,970,6851,0.0522,11.8735,0,169,170,0
tests0_500.point,500,1881,0.0162,1.7969,0,163,154,0
tests7_780.point,780,4438,0.0376,6.2798,0,168,156,0
tests15_670.point,670,3166,0.0252,3.7443,0,175,158,0
tests15_970.point,970,6836,0.0523,14.3182,0,173,164,0
tests4_930.point,930,6227,0.0537,12.0029,0,182,166,0
tests3_710.point,710,3614,0.0281,4.8479,0,176,162,0
tests18_810.point,810,4658,0.0396,7.1338,0,175,165,0
tests14_740.point,740,3848,0.0332,6.0081,0,170,163,0
tests2_780.point,780,4405,0.0821,7.9456,0,180,165,0
tests15_920.point,920,6156,0.0725,10.8595,0,173,162,0
tests19_680.point,680,3331,0.0305,5.9072,0,173,164,0
tests4_900.point,900,5974,0.0455,10.5605,0,184,169,0
tests17_840.point,840,5036,0.042,8.4016,0,180,156,0
tests10_920.point,920,6082,0.1181,11.3712,0,184,164,0
tests6_600.point,600,2562,0.0209,3.148,0,171,152,0
